cleaned.taxa.name,resolved.taxa.name.manual
coelosphaerium kutzingii,Coelosphaerium kuetzingianum
gloeotila spiralis,stichococcus contortus
anabaena flos-aquae treleasii,Dolichospermum flosaquae
aphanizomenon flos-aquae gracile,Aphanizomenon gracile
scenedesmus pulloideus,scenedesmus
scenedesmus intermedius acaudatus,scenedesmus intermedius
gomphonema intricatum pumila,gomphonema intricatum
anabaena oscillarioides elliptica,anabaena oscillarioides
salpingoeca globulosa,salpingoeca
scenedesmus intermedius bicaudatus,scenedesmus intermedius
anabaena bergii limnetica,Anabaena minderi
ochromonas nannos,ochromonas nana
scenedesmus ecornis polymorphus,scenedesmus ecornis
cyclotella atomus gracilis,cyclotella atomus
tetraedron minimum tetralobulatum,tetraedron minimum
scenedesmus acutus acutus,scenedesmus acutus
stichogloea olivacea sphaerica,stichogloea olivacea
scenedesmus denticulatus fenestratus,Desmodesmus denticulatus
cosmarium pygmaeum heimerlii,cosmarium pygmaeum
scenedesmus lefevrei manguinii,Desmodesmus lefevrei
kirchneriella dichotomococcoides,kirchneriella
scenedesmus intermedius intermedius,Desmodesmus intermedius
scenedesmus opoliensis carinatus,Desmodesmus opoliensis
staurodesmus incus minor,staurodesmus incus
chlamydomonas gloeophila irregularis,chlamydomonas gloeophila
cosmarium polygonum hexagonum,cosmarium polygonum
fragilaria construens venter,Fragilaria venter
cosmarium abbreviatum minor,cosmarium abbreviatum
pseudosphaerocystis lundii,pseudosphaerocystis
fragilaria tenera lemanensis,fragilaria tenera
pseudokephyrion blatnense,kephyrion blatnense
fotterella tetrachlorella,fotterella tetrachlorelloides
dinobryon anneciense,dinobryon
dinobryon sertularia protuberans,dinobryon sertularia
closterium acutum linea,closterium acutum
dinobryon sociale americanum,dinobryon sociale
dinobryon sociale stipitatum,dinobryon sociale
pandorina morum major,pandorina morum
cosmarium novae-semliae sibiricum,cosmarium novae-semliae
closterium acutum variabile,closterium acutum
cosmarium sexangulare minus,Cosmarium sexangulare
tetraedron minimum scrobiculatum,tetraedron minimum
cosmarium phaseolus minus,cosmarium phaseolus
dinobryon cylindricum alpinum,dinobryon cylindricum
ulothricophyceae,chlorophyceae
pseudostaurastrum alternans,staurastrum alternans
closterium venus westii,closterium venus
trachelomonas volvocina subglobosa,trachelomonas volvocina
pseudostaurastrum hastatum palatinum,pseudostaurastrum hastatum
cosmarium venustum minus,cosmarium venustum
cosmarium subcostatum minus,cosmarium subcostatum
ulnaria delicatissima angustissima,Synedra delicatissima
coenocystis planctonica hercynica,coenocystis planctonica
peridiniopsis umbonatum,Peridinium umbonatum
cymbella helvetica curta,cymbella helvetica
cosmarium subprotumidum gregorii,cosmarium subprotumidum
aulacoseira islandica helvetica,aulacoseira islandica
cosmarium undulatum minutum,cosmarium undulatum
peridinium inconspicuum var. contactum,Parvodinium inconspicuum
stephanodiscus hantzschii tenuis,Stephanodiscus tenuis
cosmarium subcostatum subcostatum,Cosmarium subcosmetum
phacus pleuronectes pleuronectes,phacus pleuronectes
staurastrum johnsonii triradiatum,staurastrum johnsonii
staurastrum sebaldii ornatum,Staurastrum manfeldtii
cosmarium margaritiferum regularius,cosmarium margaritiferum
staurastrum planctonicum bullosum,Staurastrum pingue
cymatopleura solea regula,Surirella regula
cyclotella bodanica lemanensis,Lindavia bodanica
kephyrion gracilis,kephyrion
kephyrion gracile,kephyrion
gomphosphaeria pallidum,gomphosphaeria
stephanocodon socialis,Bicosoeca socialis
afroneurus ethiopicus,afroneurus
anax congoliath lisomboae,anax congoliath
gomphidia quarrei quarrei,gomphidia quarrei
gomphidia quarrei confinii,gomphidia quarrei
ictinogomphus ruwenzorica,ictinogomphus
clogmia albopuncta,clogmia albipunctata
bosmina longispina-maritima,bosmina longispina
chydorus bicuspidatus,chydorus
daphnia cucullataxgaleata,daphnia
daphnia hyalinaxgaleata,daphnia
copepodit calanoida,Calanoida
copepodit cyclopoida,Calanoida
asplanchna henrietta,asplanchna priodonta
nauplii copepoda,copepoda
chlorolobion glareosum,chlorolobion
desmodesmus armatus longispina,desmodesmus armatus
dictyosphaerium pulchellum minutum,Mucidosphaerium pulchellum
pseudopediastrum boryanum longicorne,pseudopediastrum boryanum
scenedesmus armatus boglariensis,Desmodesmus denticulatus
scenedesmus denticulatus brevispinus,Desmodesmus denticulatus
scenedesmus granulatus f. spinosus,Desmodesmus granulatus
scenedesmus quadricauda longispina,Desmodesmus armatus
dinobryon divergens var. schauinslandii,dinobryon divergens
dinobryon suecicum longispinum,dinobryon suecicum
kephyrion welshii,kephyrion
aulacoseira ambigua japonica,aulacoseira ambigua
fragilaria crotonensis lacus-vulcani,Fragilaria prolongata
trachelomonas volvocina punctata,trachelomonas volvocina
notommata oculifera,dicranophorus forcipatus
aulacoseira ambigua curvata,aulacoseira ambigua
achnanthes brevipes brevipes,achnanthes brevipes
adlafia minuscula muralis,Navicula muralis
achnanthes exigua elliptica,achnanthes exigua
achnanthes minutissima inconspicua,achnanthes minutissima
brachysira brebissonii brebissonii,brachysira brebissonii
bacillaria paxillifera paxillifera,bacillaria paxillifera
cymbella excisa excisa,cymbella excisa
caloneis amphisbaena amphisbaena,Navicula amphisbaena
cymbopleura frequens frequens,cymbopleura frequens
cymbopleura kuelbsii kuelbsii,cymbopleura kuelbsii
cymbopleura naviculiformis naviculiformis,cymbopleura naviculiformis
cavinula cocconeiformis elliptica,Navicula cocconeiformis
cyclotella distinguenda distinguenda,cyclotella distinguenda
cyclotella distinguenda var. unipunctata,Epithemia operculata
cymbella excisa angusta,Cymbella affinis
cymatopleura elliptica elliptica,Surirella elliptica
cymbella excisiformis nonprotracta,cymbella excisiformis
cymbella excisa procera,cymbella excisa
cymbella excisiformis excisiformis,cymbella excisiformis
cymbella hustedtii hustedtii,cymbella hustedtii
cymbella kolbei kolbei,cymbella kolbei
cymbella laevis laevis,cymbella laevis
cymbella lanceolata lanceolata,cymbella lanceolata
cymbella neocistula neocistula,cymbella neocistula
cymbella neoleptoceros neoleptoceros,cymbella neoleptoceros
cocconeis placentula placentula,cocconeis placentula
cocconeis placentula klinoraphis,cocconeis placentula
cocconeis placentula pseudolineata,cocconeis placentula
cymbella proxima proxima,cymbella proxima
cymbopleura rhomboidea rhomboidea,cymbopleura rhomboidea
cymatopleura solea apiculata,cymatopleura solea
cymbopleura subaequalis subaequalis,Cymbella subaequalis
cymatopleura solea solea,cymatopleura solea
cymbella subtruncata subtruncata,cymbella subtruncata
cymbella tropica tropica,cymbella tropica
cymbella vulgata vulgata,cymbella vulgata
diadesmis contenta biceps,Navicula trinodis
diadesmis confervacea confervacea,diadesmis confervacea
denticula kuetzingii kuetzingii,denticula kuetzingii
denticula tenuis crassula,denticula tenuis
diatoma vulgaris lineare,diatoma vulgaris
eunotia arcus arcus,eunotia arcus
encyonema silesiacum latistriata,Cymbella silesiaca
eunotia muscicola muscicola,eunotia muscicola
entomoneis paludosa paludosa,entomoneis paludosa
eunotia praerupta praerupta,eunotia praerupta
eunotia pectinalis undulata,Fragilaria pectinalis
encyonema silesiacum ventriformis,Cymbella silesiaca
epithemia turgida turgida,Navicula turgida
fragilaria capucina capucina,fragilaria capucina
fallacia difficillimoides,Fallacia
fragilaria pinnata pinnata,fragilaria pinnata
fallacia pygmaea pygmaea,fallacia pygmaea
frustulia rhomboides amphipleuroides,Frustulia rhomboides
fragilaria zeilleri elliptica,fragilaria zeilleri
gomphonema bohemicum bohemicum,gomphonema bohemicum
gomphoneis eriense variabilis,gomphoneis eriense
gomphonema micropus micropus,gomphonema micropus
gomphonema minutum minutum,gomphonema minutum
gomphonema olivaceum olivaceum,gomphonema olivaceum
gomphonema olivaceum minutissima,gomphonema olivaceum
licmophora gracilis gracilis,Podosphenia gracilis
luticola af f mutica,Navicula mutica
mayamaea alcimonica,navicula atomus
meridion circulare constrictum,meridion constrictum
meridion circulare circulare,meridion circulare
mayamaea fossalis obsidialis,Navicula obsidialis
nitzschia amphibia amphibia,nitzschia amphibia
nitzschia dissipata dissipata,Synedra dissipata
nitzschia filiformis conferta,Homoeocladia conferta
nitzschia filiformis filiformis,nitzschia filiformis
nitzschia fonticola pelagica,nitzschia fonticola
nitzschia linearis linearis,Frustulia linearis
nitzschia linearis subtilis,nitzschia linearis
navicula minuscula muralis,Adlafia minuscula
nitzschia palea debilis,Synedra debilis
nitzschia palea tenuirostris,nitzschia palea
navicula reichardtiana reichardtiana,navicula reichardtiana
navicula salinarum var. salinarum,navicula salinarum
navicula salinarum var. rostrata,Navicula digitoradiata
navicula schroeteri schroeteri,navicula schroeteri
nitzschia sinuata sinuata,Denticula sinuata
nitzschia sinuata tabellaria,Denticula tabellaria
navicula trivialis trivialis,navicula trivialis
nupela lapidosa lapidosa,nupela lapidosa
navicula vandamii var. vandamii,navicula vandamii
navicula vandamii var. mertensiae,navicula vandamii
naviculadicta seminulum,Naviculadicta seminula
navicula viridula var. germainii,navicula germainii
pinnularia borealis borealis,pinnularia borealis
pinnularia brebissonii brebissonii,Pinnularia acutobrebissonii
pinnularia dubitabilis dubitabilis,pinnularia dubitabilis
pinnularia globiceps globiceps,pinnularia globiceps
planothidium peragalli parvulum,planothidium peragalli
pinnularia lundii lundii,pinnularia lundii
placoneis placentula rostrata,Placoneis placentula
pseudostaurosira parasitica subconstricta,Pseudostaurosira parasitica
pinnularia subcapitata subcapitata,pinnularia subcapitata
pinnularia subrupestris cruciata,pinnularia subrupestris
pinnularia subcapitata elongata,pinnularia subcapitata
pinnularia subgibba subgibba,pinnularia subgibba
pinnularia sudetica sudetica,pinnularia sudetica
pinnularia viridiformis viridiformis,pinnularia viridiformis
surirella brebissonii kuetzingii,surirella brebissonii
surirella brebissonii brebissonii,surirella brebissonii
staurosira construens binodis,Fragilaria construens
staurosira construens subsalina,Fragilaria construens
staurosira construens venter,Fragilaria construens
surirella linearis constricta,surirella linearis
stauroneis legumen integra,stauroneis legumen
staurosirella pinnata intercedens,staurosirella pinnata
stauroneis siberica siberica,stauroneis siberica
thalassiosira hyperborea pelagica,Coscinodiscus lacustris
actinastrum hantzschii subtile,actinastrum hantzschii
aulacoseira granulata curvata,aulacoseira granulata
chromulina ettlii,chromulina
chromulina obconica,chromulina
ekrenia subguiciliata,NA
chroococus cf pescottii,chroococus pescottii
cosmarium contractum minutum,cosmarium contractum
cryptochrysis pochmanni,Chroomonas pochmanni
desmodesmus armatus spinosus,desmodesmus armatus
dolichospermum fertilissima,dolichospermum
euglena oxyuris oxyuris,Lepocinclis oxyuris
kirchneriella contorta varelongata,Raphidocelis danubiana
koliella longiseta tenuis,koliella longiseta
lagherimia subsalsa lemm,Lagerheimia subsalsa
melosira moniliformis octogona,melosira moniliformis
monodus aff clavata,monodus clavata
ochromonas sphaerella,ochromonas
scenedesmus acuminatus acuminatus,Tetradesmus lagerheimii
scenedesmus acuminatus minor,Tetradesmus lagerheimii
scenedesmus acuminatus tetradesmoides,Tetradesmus lagerheimii
scenedesmus intermedius chod,Desmodesmus intermedius
staurastrum excavatum excavatum,staurastrum excavatum
staurastrum leptocladum leptocladum,Staurastrum johnsonii
staurastrum leptocladum smithii,staurastrum leptocladum
staurastrum quadricauda,staurastrum
staurastrum sebaldi ornatum,staurastrum sebaldi
staurastrum tetracerum tortum,staurastrum tetracerum
staurodesmus incus primigenius,staurodesmus incus
tetrastrum peterfii,tetrastrum
trachelomonas hispida crenulatocollis,trachelomonas hispida
trachelomonas rugulosa stein,trachelomonas rugulosa
urosolenia eriensis morsa,Rhizosolenia eriensis
pennate,NA
bdelodea,bdelloidea
microcyclops anceps anceps,microcyclops anceps
polyarthra aff. vulgaris,polyarthra vulgaris
cyclopoida nauplii,cyclopoida
euglenofita,euglenophyta
aulacoseira granulata valida,aulacoseira granulata
mesocyclops aequatorialis similis,mesocyclops aequatorialis
megacyclops viridis viridis,megacyclops viridis
thermodiaptomus galebi lacustris,thermodiaptomus galebi
tropodiaptomus processifer friedae,tropodiaptomus processifer
trichodina diaptomi,trichodina
planctonema lacustris,planctonema
chlamydocapsa cingulata,chlamydocapsa
keratella cochlearis var. hispida,keratella cochlearis
schroederia ecsediensis,schroederia
caloneis ventricosa minuta,Navicula ventricosa
stephanodiscus astraea minutula,Cyclotella minutula
navicula contenta biceps,Humidophila contenta
diatoma hiemale mesodon,Fragilaria mesodon
dolichospermum variabilis,anabaena
melosira granulata angustissima,melosira granulata
heterolepadella ehrenbergi,Lepadella ehrenbergi
comasiella arcuata platydisca,comasiella arcuata
lecane lunaris ehrenberg,lecane lunaris
lecane quadridentata ehrenberg,lecane quadridentata
bosmina stingelini,Bosmina coregoni
aphanothece clathrata brevis,Anathece bachmannii
bicosoeca lauterbornii,Bicosoeca
bicosoeca mitra suecica,bicosoeca mitra
bicosoeca planctonica multiannulata,bicosoeca planctonica
centritractus pseudobrunneus,centritractus brunneus
centritractus rotundatus,centritractus
chaetopeltis orbicularis megalocystis,chaetopeltis orbicularis
characiopsis crassirostrum,characiopsis
characiopsis obliqua,characiopsis
characiopsis spina,characiopsis
characium sikangense,characium
chroostipes linearis,Micrasterias laticeps
chrysococcus rufescens tripora,chrysococcus rufescens
chrysolykos angulatus f. bicornis,chrysolykos angulatus
chrysosphaerella setifera,chrysosphaerella
chrysoxys rhizopodica,chrysoxys
closterium calosporum brasiliense,closterium calosporum
closterium closterioides intermedium,closterium closterioides
closterium dianae arcuatum,closterium dianae
closterium dianae minus,closterium dianae
closterium leibleinii boergesenii,Closterium leibleinii
closterium limneticum fallax,closterium limneticum
closterium limneticum tenue,Closterium gracile
closterium littorale crassum,closterium littorale
closterium nordstedtii polystichum,closterium nordstedtii
closterium ralfsii hybridum,closterium ralfsii
closterium strigosum elegans,closterium strigosum
closterium tumidum nylandicum,Closterium nylandicum
coccomyxa lunaris,coccomyxa
coelastrum cambricum intermedium,coelastrum cambricum
coelastrum microporum octaedricum,coelastrum microporum
coelastrum microporum punctatum,coelastrum microporum
colacium vesiculosum arbuscula,colacium vesiculosum
cosmarium abbreviatum germanicum,cosmarium abbreviatum
cosmarium abbreviatum minus,cosmarium abbreviatum
cosmarium abbreviatum planctonicum,cosmarium abbreviatum
cosmarium biretum var. trigibberum,cosmarium biretum
cosmarium botrytis subtumidum,cosmarium botrytis
cosmarium contractum ellipsoideum,cosmarium contractum
cosmarium cucumis helveticum,cosmarium cucumis
cosmarium holmiense var. integrum,cosmarium holmiense
cosmarium laeve pseudooctangulare,cosmarium laeve
cosmarium ornatulum depressum,cosmarium ornatulum
cosmarium pachydermum aethiopicum,cosmarium pachydermum
cosmarium phaseolus minor,cosmarium phaseolus
cosmarium polygonum acutius,cosmarium polygonum
cosmarium punctulatum var. subpunctulatum,cosmarium punctulatum
cosmarium pygmaeum apertum,Cosmarium lutetianum
cosmarium pygmaeum perornatum,Cosmarium pygmaeum
cosmarium regnesi montanum,cosmarium regnesi
cosmarium regnesii polonicum,Cosmarium regnesi
cosmarium reniforme elevatum,cosmarium reniforme
cosmarium sphagnicola pachygonum,cosmarium sphagnicola
cosmarium subspeciosum transiens,cosmarium subspeciosum
cosmarium subtumidum klebsii,Cosmarium nitidulum
cosmarium tinctum tumidum,cosmarium tinctum
cosmarium venustum excavatum,cosmarium venustum
crucigenia quadrata secta,crucigenia quadrata
desmarella sphaeroidea,desmarella
desmodesmus armatus bicaudatus,desmodesmus armatus
desmodesmus denticulatus linearis,desmodesmus denticulatus
desmodesmus opoliensis carinatus,desmodesmus opoliensis
dichotomococcus bacillaris,dichotomococcus
epipyxis lauterbornii mucicola,epipyxis lauterbornii
epipyxis utriculus acuta,epipyxis utriculus
euastrum humerosum affine,euastrum humerosum
euglena deses klebsii,euglena deses
euglena oxyuris maior,Lepocinclis oxyuris
euglena oxyuris skvortzovii,Lepocinclis oxyuris
euglena oxyuris minor,Lepocinclis oxyuris
granulocystis ruzickae,granulocystis
gymnodinium inversum elongatum,gymnodinium inversum
kephyrion crassum,kephyrion
lagerheimia longiseta major,lagerheimia longiseta
lepidochromonas butcheri,Paraphysomonas butcheri
lepidochromonas subquadrangularis,Paraphysomonas subquadrangularis
lepidochromonas subrotacea,Paraphysomonas subrotacea
lepidochromonas takahashii,Paraphysomonas takahashii
lepocinclis ovum buetschlii,lepocinclis ovum
leptolyngbya purpurascens,leptolyngbya
mallomonas bacterium,mallomonas
mallomonas tonsurata alpina,mallomonas alpina
mallomonas valkanoviana,mallomonas
microglena subglobosa,microglena
nephroselmis pelagica,nephroselmis
netrium digitus naegelii,netrium digitus
ochromonas coronifera,ochromonas
oocystis submarina variabilis,oocystis submarina
pediastrum simplex radians,Monactinus simplex
pediastrum tetras apiculatum,Stauridium tetras
phacus caudatus minor,Phacus tenuis
phacus monilatus suecicus,phacus monilatus
phacus orbicularis minor,phacus orbicularis
phacus pyrum pseudonordstedtii,phacus pyrum
polygoniochloris tetragona,polygoniochloris circularis
prismatella parvulus,prismatella
pseudococcomyxa chodatii,pseudococcomyxa
pseudokephyrion hyalinum,pseudokephyrion
pseudokephyrion urnula,pseudokephyrion
pseudopedinella ambigua,pseudopedinella
rayssiella marvanii,rayssiella
rhodomonas lacustris nannoplanctica,Plagioselmis nannoplanctica
scenedesmus arcuatus platydisca,scenedesmus arcuatus
scenedesmus armatus bicaudatus,scenedesmus arcuatus
scenedesmus armatus platydiscus,scenedesmus arcuatus
scenedesmus denticulatus linearis,Desmodesmus denticulatus
scenedesmus intermedius var. acutispinus,Desmodesmus intermedius
scenedesmus intermedius balatonicus,Desmodesmus intermedius
scenedesmus pseudogranulatus,Scenedesmus circumfusus
scenedesmus pseudohelveticus,Desmodesmus armatus
scenedesmus pseudohystrix,desmodesmus hystrix
stokesiella longipes,stokesiella
stokesiella minutissima,stokesiella
strombomonas verrucosa zmiewika,strombomonas verrucosa
tetrablepharis obovalis,tetrablepharis multifilis
tetraspora lubrica lacunosa,tetraspora lubrica
thorakochloris pringsheimii,thorakochloris
trachelomonas armata longa,trachelomonas armata
trachelomonas armata steinii,trachelomonas armata
trachelomonas hispida acuminata,trachelomonas hispida
trachelomonas hispida caudata,trachelomonas hispida
trachelomonas hispida coronata,trachelomonas hispida
trachelomonas lacustris ovalis,trachelomonas lacustris
trachelomonas planctonica oblonga,trachelomonas planctonica
trachelomonas scabra labiata,trachelomonas scabra
trachelomonas volzii intermedia,trachelomonas volzii
tetrastrumelegans playfair,tetrastrum elegans
pyxicola psammata,pyxicola
unapertura latens,NA
closterium cornu upsaliense,closterium cornu
cosmarium blyttii novae-sylvae,cosmarium blyttii
cosmarium botrytis tumidum,cosmarium botrytis
cosmarium conspersum var. latum,cosmarium conspersum
cosmarium laeve octangulare,cosmarium laeve
cosmarium monomazum polymazum,cosmarium monomazum
cosmarium pseudonitidulum var. validum,cosmarium pseudonitidulum
cosmarium quadratulum var. boldtii,cosmarium quadratulum
cosmarium subtumidum var. groenbladii,cosmarium subtumidum
euastrum ansatum ansatum,euastrum ansatum
euastrum ansatum rhomboidale,euastrum ansatum
euastrum binale gutwinskii,euastrum binale
euastrum crassum microcephalum,euastrum crassum
haplotaenium trabecula,haplotaenium
hyalotheca dissiliens minor,hyalotheca dissiliens
staurastrum boreale quadriradiatum,staurastrum boreale
staurastrum micron spinulosum,staurastrum micron
staurastrum orbiculare orbiculare,staurastrum orbiculare
staurastrum polymorphum pygmaeum,staurastrum polymorphum
staurastrum proboscideum productum,staurastrum proboscideum
staurastrum spongiosum perbifidum,staurastrum spongiosum
staurodesmus dejectus brevispinus,staurodesmus dejectus
xanthidium antilopaeum leve,xanthidium antilopaeum
ankistrodesmus falcatus spirilliformis,Monoraphidium contortum
daphnia coregoni,Bosmina coregoni
collotheca ornata var. cornuta,collotheca ornata
pseudencentrum diglandula,pseudencentrum
pseudencentrum sutor,pseudencentrum
ptygura melicerta ctenoida,ptygura melicerta
brachionus tubicen,floscularia ringens
achnanthes flexella alpestris,Cymbella flexella
coccoid,NA
cyclotella operculata unipunctata,Epithemia operculata
dinobryon bavaricum vanhoeffenii,Dinobryon vanhoeffenii
navicula radiosa var. tenella,navicula tenella
oocystis gigas var. incrassata,oocystis gigas
stephanodiscus hantzschii hantzschii,stephanodiscus hantzschii
synedra delicatissima angustissima,synedra delicatissima
synedra filiformis exilis,synedra filiformis
synedra ulna biceps,synedra ulna
synedra ulna chaseana,synedra ulna
tabellaria flocculosa geniculata,Tabellaria fenestrata
achnanthes clevei rostrata,Karayevia clevei
achnanthes lanceolata var. rostrata,achnanthes rostrata
achnanthes lapponica ninckei,achnanthes ninckei
actinocyclus normanii subsalsa,Coscinodiscus subsalsus
fragilaria leptostauron dubia,Biblarium leptostauron
fragilaria pinnata lancettula,fragilaria lancettula
fragilaria vaucheriae capitellata,Fragilaria recapitellata
navicula menisculus var. upsaliensis,navicula menisculus
navicula rhynchocephala var. amphiceros,Navicula amphiceros
navicula salinarum var. intermedia,Navicula cryptocephala
stephanodiscus carconensis pusilla,stephanodiscus carconensis
synedra parasitica subconstricta,Pseudostaurosira parasitica
diaphanosoma edmondsoni,diaphanosoma
diaphanosoma kizakiensis,diaphanosoma
moina hemanti,moina
arthrospira platensis non-constricta,arthrospira platensis
euglena gracilis urophora,euglena gracilis
lepocinclis fusiformis amphirhynchus,lepocinclis fusiformis
lepocinclis ovum angustatum,lepocinclis ovum
lepocinclis ovum dimidio-minor,lepocinclis ovum
lepocinclis teres parvula,lepocinclis teres
menoidium semilunare var. regulare,menoidium semilunare
phacus agilis var. inversus,Cryptoglena skujae
strombomonas acuminata amphora,strombomonas acuminata
strombomonas acuminata deflandreana,strombomonas acuminata
strombomonas praeliaris nana,strombomonas praeliaris
strombomonas subcurvata var. africana,strombomonas subcurvata
trachelomonas abrupta angustata,trachelomonas abrupta
trachelomonas curta minima,trachelomonas curta
trachelomonas dangeardii glabra,Trachelomonas dangeardiana
trachelomonas granulosa subglobosa,trachelomonas granulosa
trachelomonas hexangulata var. hexagona,trachelomonas hexangulata
trachelomonas kellogii nana,trachelomonas kellogii
trachelomonas lismorensis inermis,trachelomonas lismorensis
trachelomonas obovata klebsiana,trachelomonas obovata
trachelomonas sydneyensis minima,trachelomonas sydneyensis
trachelomonas sydneyensis obesa,trachelomonas sydneyensis
trachelomonas varians globosa,Trachelomonas volzii
trachelomonas verrucosa irregularis,trachelomonas verrucosa
trachelomonas verrucosa f. sparseornata,trachelomonas verrucosa
trachelomonas volvocina derephora,trachelomonas volvocina
gloeomonas tecta,gloeomonas
microspora amoena gracilis,microspora amoena
pediastrum simplex clathratum,Monactinus simplex
pseudopediastrum subgranulatum,pseudopediastrum
scenedesmus formidolosus,scenedesmus
scenedesmus opoliensis bicaudatus,Desmodesmus opoliensis
scenedesmus protuberans f. danubianus,Desmodesmus protuberans
scenedesmus protuberans var. minor,Desmodesmus protuberans
scenedesmus pseudoquadricauda,scenedesmus
scenedesmus similagineus,scenedesmus
