Chaoborus,Fish,Treatment,ID,Size at maturity (μm),Neonate size (μm),Size at 16th day (μm),Time to first brood (h),Total offspring number (ind),Brood number,Average brood size (ind),Horns at maturity,Horns at 16th day
No Chaoborus,No Fish,C,1,539.21,271.32,690.25,111,52,9,5.777777778,0,0
No Chaoborus,No Fish,C,2,532.51,267.6,687.5,111,45,7,6.428571429,0,0
No Chaoborus,No Fish,C,3,540.82,277.87,704.76,117,61,8,7.625,0,0
No Chaoborus,No Fish,C,4,540.85,274.48,739.86,111,57,9,6.333333333,0,0
No Chaoborus,No Fish,C,5,531.85,290.06,681.03,117,43,8,5.375,0,0
No Chaoborus,No Fish,C,6,512.39,253.41,690.73,117,59,9,6.555555556,0,0
No Chaoborus,No Fish,C,7,527.2,,702.6,111,58,9,6.444444444,0,0
No Chaoborus,No Fish,C,8,536.92,,672.88,117,46,9,5.111111111,0,0
No Chaoborus,No Fish,C,9,546.15,,701.21,117,46,8,5.75,0,0
No Chaoborus,No Fish,C,10,536.34,,699.14,111,47,7,6.714285714,0,0
Chaoborus,No Fish,CH,11,463.17,271.74,714.5,93,53,9,5.888888889,75,75
Chaoborus,No Fish,CH,12,526.62,260.9,740.87,111,75,10,7.5,58.33333333,33.33333333
Chaoborus,No Fish,CH,13,509.97,260.95,705.47,93,76,10,7.6,50,66.66666667
Chaoborus,No Fish,CH,14,532.52,280.06,734.03,111,64,9,7.111111111,75,16.66666667
Chaoborus,No Fish,CH,15,456.11,270.11,697.07,93,59,9,6.555555556,66.66666667,83.33333333
Chaoborus,No Fish,CH,16,459.89,272.48,733.31,117,68,10,6.8,58.33333333,50
Chaoborus,No Fish,CH,17,520.79,,715.47,105,57,9,6.333333333,8.333333333,50
Chaoborus,No Fish,CH,18,469.33,,726,93,56,9,6.222222222,50,58.33333333
Chaoborus,No Fish,CH,19,512.18,,713.17,117,59,9,6.555555556,66.66666667,25
Chaoborus,No Fish,CH,20,520.15,,,111,,,,,
No Chaoborus,Fish,F,21,431.56,246.84,660.31,93,54,10,5.4,0,0
No Chaoborus,Fish,F,22,469.03,245.03,681.77,111,57,9,6.333333333,0,0
No Chaoborus,Fish,F,23,456.41,262.93,679.55,93,51,9,5.666666667,0,0
No Chaoborus,Fish,F,24,468.24,263.37,665.42,117,51,9,5.666666667,0,0
No Chaoborus,Fish,F,25,430.42,248.32,655.93,85,52,10,5.2,0,0
No Chaoborus,Fish,F,26,431.02,250.04,659.95,99,57,10,5.7,0,0
No Chaoborus,Fish,F,27,441.68,,669.14,93,52,9,5.777777778,0,0
No Chaoborus,Fish,F,28,421.55,,634.42,99,47,8,5.875,0,0
No Chaoborus,Fish,F,29,418.26,,648.81,99,50,9,5.555555556,0,0
No Chaoborus,Fish,F,30,439.19,,682.8,93,47,9,5.222222222,0,0
Chaoborus,Fish,CH+F,31,500.93,247.51,706.6,111,62,9,6.888888889,25,0
Chaoborus,Fish,CH+F,32,475.44,247.7,655.45,111,58,8,7.25,0,0
Chaoborus,Fish,CH+F,33,434.18,247.87,706.84,117,68,9,7.555555556,0,0
Chaoborus,Fish,CH+F,34,420.9,263.66,703.29,99,55,9,6.111111111,41.66666667,0
Chaoborus,Fish,CH+F,35,444.68,246.47,681.35,93,53,9,5.888888889,25,0
Chaoborus,Fish,CH+F,36,467.99,255.46,659.17,93,53,8,6.625,8.333333333,0
Chaoborus,Fish,CH+F,37,444.21,,673.71,99,51,9,5.666666667,50,0
Chaoborus,Fish,CH+F,38,420.25,,690.09,99,50,9,5.555555556,8.333333333,0
Chaoborus,Fish,CH+F,39,407.18,,686.9,99,55,9,6.111111111,0,0