Lake,ZooplanktonGroup,LengthMicron,WidthMicron
alta,daphnia,1600,911.5789474
alta,daphnia,1936.842105,1012.631579
alta,daphnia,1405.084746,710.1694915
alta,daphnia,1428.813559,672.8813559
alta,daphnia,1194.915254,503.3898305
alta,daphnia,882.1052632,534.7368421
alta,daphnia,1375.789474,835.7894737
alta,daphnia,1284.210526,761.0526316
alta,daphnia,1672.94751,974.4279946
alta,daphnia,1176.312248,605.6527591
alta,daphnia,1593.684211,585.2631579
alta,daphnia,1065.263158,477.8947368
alta,daphnia,1526.315789,602.1052632
alta,daphnia,1183.157895,600
alta,daphnia,1469.473684,774.7368421
alta,daphnia,1538.947368,648.4210526
alta,daphnia,1442.105263,703.1578947
alta,daphnia,1269.473684,762.1052632
alta,daphnia,1326.315789,486.3157895
alta,daphnia,1286.315789,627.3684211
alta,copepod,625.751073,226.6094421
alta,copepod,617.167382,227.4678112
alta,copepod,574.248927,167.3819742
alta,copepod,815.4506438,296.1373391
alta,copepod,586.1182519,249.3573265
alta,copepod,488.4318766,158.5261354
alta,copepod,625.5355613,232.2193659
alta,copepod,478.1491003,223.6503856
brohm,daphnia,1116.949153,535.5932203
brohm,daphnia,1247.457627,701.6949153
brohm,daphnia,749.1525424,328.8135593
brohm,daphnia,791.5254237,283.0508475
brohm,daphnia,1225.423729,601.6949153
brohm,daphnia,1201.694915,723.7288136
brohm,daphnia,867.7966102,452.5423729
brohm,daphnia,1269.677419,477.4193548
brohm,daphnia,780.6451613,421.9354839
brohm,daphnia,1018.064516,486.4516129
brohm,daphnia,1193.548387,637.4193548
brohm,daphnia,967.7419355,432.2580645
brohm,daphnia,1318.709677,680
brohm,daphnia,929.0322581,562.5806452
brohm,daphnia,998.7096774,499.3548387
brohm,daphnia,1095.483871,567.7419355
brohm,daphnia,1206.451613,739.3548387
brohm,daphnia,1249.032258,476.1290323
brohm,daphnia,792.2580645,430.9677419
brohm,daphnia,994.8387097,490.3225806
brohm,copepod,1162.580645,365.1612903
brohm,copepod,1512.258065,482.5806452
brohm,copepod,1175.483871,392.2580645
brohm,copepod,1406.451613,451.6129032
brohm,copepod,1089.032258,472.2580645
brohm,copepod,1388.387097,525.1612903
brohm,copepod,1267.096774,418.0645161
brohm,copepod,743.2258065,184.516129
brohm,copepod,600,184.516129
brohm,copepod,1362.580645,465.8064516
chilliwack,daphnia,1225.806452,621.9354839
chilliwack,daphnia,1069.677419,518.7096774
chilliwack,daphnia,1209.032258,752.2580645
chilliwack,daphnia,743.2258065,353.5483871
chilliwack,daphnia,1287.741935,619.3548387
chilliwack,daphnia,1126.451613,572.9032258
chilliwack,daphnia,917.4193548,424.516129
chilliwack,daphnia,1371.612903,694.1935484
chilliwack,daphnia,1268.387097,660.6451613
chilliwack,daphnia,1283.870968,676.1290323
chilliwack,daphnia,1189.830508,644.0677966
chilliwack,daphnia,1298.305085,813.559322
chilliwack,daphnia,1340.677966,862.7118644
chilliwack,daphnia,976.2711864,581.3559322
chilliwack,daphnia,1330.508475,796.6101695
chilliwack,daphnia,1332.20339,816.9491525
chilliwack,daphnia,1069.491525,706.779661
chilliwack,daphnia,871.1864407,493.220339
chilliwack,daphnia,1208.474576,706.779661
chilliwack,daphnia,961.0169492,506.779661
chilliwack,copepod,846.6152528,275.0642674
chilliwack,copepod,2070.967742,305.8064516
chilliwack,copepod,796.9151671,477.2922022
chilliwack,copepod,1325.16129,365.1612903
chilliwack,copepod,1120,357.4193548
chilliwack,copepod,1210.322581,387.0967742
cultus,copepod,1194.515853,327.3350471
cultus,copepod,1016.281063,346.1868038
cultus,copepod,964.8671808,305.9125964
cultus,copepod,682.0908312,237.3607541
cultus,copepod,723.2219366,242.5021422
cultus,copepod,969.151671,316.1953728
cultus,copepod,640.9597258,268.2090831
cultus,copepod,1022.279349,294.772922
cultus,copepod,936.5895458,323.050557
cultus,copepod,705.227078,282.7763496
cultus,daphnia,1947.096774,872.2580645
cultus,daphnia,1171.612903,655.483871
cultus,daphnia,2105.806452,974.1935484
cultus,daphnia,1864.516129,758.7096774
cultus,daphnia,2300.645161,1090.322581
cultus,daphnia,2113.548387,1140.645161
cultus,daphnia,1932.903226,1092.903226
cultus,daphnia,1512.258065,703.2258065
cultus,daphnia,1873.548387,811.6129032
cultus,daphnia,1434.83871,645.1612903
cultus,daphnia,2010.169492,869.4915254
cultus,daphnia,1805.084746,864.4067797
cultus,daphnia,1408.474576,586.440678
cultus,daphnia,1977.966102,810.1694915
cultus,daphnia,2110.169492,1020.338983
cultus,daphnia,1942.372881,1049.152542
cultus,daphnia,1920.338983,759.3220339
cultus,daphnia,1394.915254,511.8644068
cultus,daphnia,944.0677966,391.5254237
cultus,daphnia,2250.847458,967.7966102
deer,copepod,862.0394173,309.3401885
deer,copepod,740.3598972,247.6435304
deer,copepod,874.8928877,299.0574122
deer,copepod,773.7789203,209.0831191
deer,copepod,802.9134533,235.646958
deer,copepod,917.7377892,275.0642674
deer,copepod,945.1585261,296.4867181
deer,copepod,837.1893745,287.0608398
deer,copepod,716.3667524,247.6435304
deer,copepod,706.940874,239.9314482
cowichan,daphnia,1063.157895,617.8947369
cowichan,daphnia,805.2631579,328.4210526
cowichan,daphnia,1150.526316,605.2631579
cowichan,daphnia,891.5789474,492.631579
cowichan,daphnia,1152.631579,611.5789474
cowichan,copepod,860.3256213,269.0659811
cowichan,copepod,975.1499572,251.9280206
cowichan,copepod,904.8843188,225.3641817
cowichan,copepod,745.5012853,215.0814053
cowichan,copepod,936.5895458,281.9194516
cowichan,copepod,755.7840617,251.0711225
cowichan,copepod,483.2904884,161.0968295
cowichan,copepod,732.6478149,236.503856
cowichan,copepod,555.2699229,191.0882605
cowichan,copepod,754.0702656,229.6486718
lizard,daphnia,1421.935484,880
lizard,daphnia,1585.806452,890.3225806
lizard,daphnia,1012.631579,461.0526316
lizard,daphnia,1637.288136,906.779661
lizard,daphnia,1513.559322,886.440678
lizard,daphnia,1122.033898,572.8813559
lizard,daphnia,1627.118644,850.8474576
lizard,daphnia,1866.101695,1133.898305
lizard,daphnia,1466.101695,715.2542373
lizard,daphnia,1801.694915,1037.288136
lizard,daphnia,1120,443.8709677
lizard,daphnia,1005.16129,411.6129032
lizard,daphnia,1891.525424,977.9661017
lizard,daphnia,1176.271186,437.2881356
lizard,daphnia,1537.288136,855.9322034
lizard,daphnia,1562.711864,659.3220339
lizard,daphnia,1166.451613,504.516129
lizard,daphnia,1922.033898,1138.983051
lizard,copepod,1244.215938,317.0522708
lizard,copepod,904.8843188,314.4815767
lizard,copepod,1172.236504,367.6092545
lizard,copepod,909.1688089,311.9108826
lizard,copepod,988.0034276,306.7694944
lizard,copepod,1147.386461,363.3247644
lizard,copepod,736.075407,294.772922
lizard,copepod,1049.700086,331.6195373
lizard,copepod,1088.260497,359.8971722
lizard,copepod,1301.628106,333.3333333
pixie,daphnia,949.1525424,600
pixie,daphnia,1030.508475,633.8983051
pixie,daphnia,1179.354839,683.8709677
pixie,daphnia,1446.451613,949.6774194
pixie,daphnia,1322.580645,830.9677419
pixie,copepod,731.7909169,189.3744644
pixie,copepod,1005.998286,260.4970009
pixie,copepod,832.0479863,323.907455
pixie,copepod,933.1619537,254.4987147
pixie,copepod,984.5758355,230.5055698
pixie,copepod,1025.706941,333.3333333
pixie,copepod,948.5861183,296.4867181
pixie,copepod,912.596401,252.7849186
pixie,copepod,1059.982862,302.4850043
pixie,copepod,571.5509854,236.503856