taxa,lake,body.length
Bosmina fatalis,GH,467
Bosmina coregoni,GH,355
Bosmina longirostris,GH,541
Diaphanosoma brachyurum,GH,434
Ceriodaphnia cornuta,GH,
Daphnia pulex,GH,443
Daphnia hyalina,GH,467
Diaphanosoma sars,GH,
Cyclops vicinus,GH,857
Schmackeria forbesi,GH,
Thermocyclops dybowskii,GH,998
Mesocyclops leuckarti,GH,820
Bosmina fatalis,TM,434
Bosmina coregoni,TM,
Bosmina longirostris,TM,565
Diaphanosoma brachyurum,TM,
Ceriodaphnia cornuta,TM,473
Daphnia pulex,TM,
Daphnia hyalina,TM,398
Diaphanosoma sars,TM,
Cyclops vicinus,TM,896
Schmackeria forbesi,TM,810
Thermocyclops dybowskii,TM,859
Mesocyclops leuckarti,TM,887
Bosmina fatalis,DS,319
Bosmina coregoni,DS,325
Bosmina longirostris,DS,399
Diaphanosoma brachyurum,DS,576
Ceriodaphnia cornuta,DS,
Daphnia pulex,DS,
Daphnia hyalina,DS,419
Diaphanosoma sars,DS,
Cyclops vicinus,DS,
Schmackeria forbesi,DS,817
Thermocyclops dybowskii,DS,949
Mesocyclops leuckarti,DS,978
Bosmina fatalis,HZ,501
Bosmina coregoni,HZ,695
Bosmina longirostris,HZ,652
Diaphanosoma brachyurum,HZ,695
Ceriodaphnia cornuta,HZ,
Daphnia pulex,HZ,
Daphnia hyalina,HZ,538
Diaphanosoma sars,HZ,458
Cyclops vicinus,HZ,952
Schmackeria forbesi,HZ,951
Thermocyclops dybowskii,HZ,861
Mesocyclops leuckarti,HZ,957
Bosmina fatalis,TH,344
Bosmina coregoni,TH,429
Bosmina longirostris,TH,412
Diaphanosoma brachyurum,TH,488
Ceriodaphnia cornuta,TH,485
Daphnia pulex,TH,433
Daphnia hyalina,TH,396
Diaphanosoma sars,TH,387
Cyclops vicinus,TH,831
Schmackeria forbesi,TH,
Thermocyclops dybowskii,TH,843
Mesocyclops leuckarti,TH,849
Bosmina fatalis,QD,587
Bosmina coregoni,QD,759
Bosmina longirostris,QD,693
Diaphanosoma brachyurum,QD,699
Ceriodaphnia cornuta,QD,
Daphnia pulex,QD,477
Daphnia hyalina,QD,539
Diaphanosoma sars,QD,
Cyclops vicinus,QD,1148
Schmackeria forbesi,QD,1195
Thermocyclops dybowskii,QD,1311
Mesocyclops leuckarti,QD,1232