source.code,original.source.code,list.name,authours,title,publication,year,volume,issue,start.page.no,end.page.no,doi,abstract
1,1,primary data,"Bergman, I; Lindstrom, ES; Sassenhagen, I",Ciliate Grazing on the Bloom-Forming Microalga Gonyostomum semen,MICROBIAL ECOLOGY,2024,87,1,NA,NA,10.1007/s00248-024-02344-9,Describe a small ciliate species (< 17 mu m) that preys on G. semen
3,3,primary data,"Llorente, A; Fraile, H; de Bikuña, BG; Seoane, S",HPLC validation as a management tool in artificial water storage ponds,LIMNOLOGICA,2024,105,,NA,NA,10.1016/j.limno.2024.126160,carried out a taxonomy-based validation for the application of HPLC to the management of two artificial water storage ponds. We also investigated the error and variability sources that affected the relationships between calculated biovolumes of phytoplankton groups and associated pigment concentrations
5,5,primary data,"Arnoldt, S; Pourdanandeh, M; Spikkeland, I; Andersson, MX; Selander, E",Mass spectroscopy reveals compositional differences in copepodamides from limnic and marine copepods,SCIENTIFIC REPORTS,2024,14,1,NA,NA,10.1038/s41598-024-53247-1,Report the consistent presence of copepodamides in copepods from six Swedish freshwater lakes.
6,6,primary data,"Sildever, S; Stewart, RIA; Tesson, SVM","Factors contributing to the potential expansion of Limnomonas gaiensis (Chlamydomonadales, Chlorophyta) in freshwater lakes in Northern Europe",EUROPEAN JOURNAL OF PHYCOLOGY,2024,59,2,169,183,10.1080/09670262.2023.2274080,Investigated the phylogeography of L. gaiensis along a latitudinal gradient 
7,7,primary data,"Zuo, YP; Southard, M; Xu, QN; Zhang, GX; Skibinski, E; Moon, N; Gan, L; Chen, YS; Jiang, L",Cell size-dependent species sensitivity to nanoparticles underlies changes in phytoplankton diversity and productivity,GLOBAL CHANGE BIOLOGY,2024,30,1,NA,NA,10.1111/gcb.17049,Effect of nanoparticales on species interactions
8,8,primary data,"Murphy, CA; Pollock, AMM; Arismendi, I; Johnson, SL",HABs and HAB nots: Dynamics of phytoplankton blooms across similar oligotrophic reservoirs,LIMNOLOGICA,2023,103,,NA,NA,10.1016/j.limno.2023.126110,"the characteristics and annual dynamics of phytoplankton communities were examined, focusing on the timing, magnitude, and predictability of cyanobacterial blooms in five multi-purpose flood-control reservoirs from the Willamette Basin, Oregon, USA"
9,9,primary data,"Blackburn-Desbiens, P; Grosbois, G; Power, M; Culp, J; Rautio, M",Integrating hydrological connectivity and zooplankton composition in Arctic ponds and lakes,FRESHWATER BIOLOGY,2023,68,12,2131,2150,10.1111/fwb.14181,Testing how well the degree of hydrological connectivity explained patterns in species composition and abundance and contributed to crustacean production
10,10,primary data,"Titocci, J; Fink, P",Disturbance alters phytoplankton functional traits and consequently drives changes in zooplankton life-history traits and lipid composition,HYDROBIOLOGIA,2024,851,1,161,180,10.1007/s10750-023-05323-2,How the loss of trait diversity of phytoplankton affects their prey
11,11,primary data,"Rogalski, MA; Ferah, U",Lake water chemistry and population of origin interact to shape fecundity and growth in Daphnia ambigua,ECOLOGY AND EVOLUTION,2023,13,6,NA,NA,10.1002/ece3.10176,"laboratory reciprocal transplant experiment to assess how animals representing these populations vary in fecundity, body size, and survival when reared in lake water from each environment."
12,12,primary data,"Ramaekers, L; Vanschoenwinkel, B; Brendonck, L; Pinceel, T",Elevated dissolved carbon dioxide and associated acidification delays maturation and decreases calcification and survival in the freshwater crustacean Daphnia magna,LIMNOLOGY AND OCEANOGRAPHY,2023,68,7,1624,1635,10.1002/lno.12372,"Here, we investigated the direct effects of elevated pCO(2) and associated acidification on the water flea Daphnia magna"
14,14,primary data,"Klasios, N; Tseng, M",Microplastics in subsurface water and zooplankton from eight lakes in British Columbia,CANADIAN JOURNAL OF FISHERIES AND AQUATIC SCIENCES,2023,80,8,1248,1267,10.1139/cjfas-2022-0293,"Quantify and characterize microplastics in subsurface water and zooplankton from eight lakes in BC, Canada"
15,15,primary data,"Theus, ME; Michaels, J; Fey, SB",Interactive effects of temperature and bisphenol A on phytoplankton growth and community structure,CONSERVATION PHYSIOLOGY,2023,11,1,NA,NA,10.1093/conphys/coad021,Understanding how environmental gradients of both temperature and BPA concentration influence freshwater phytoplankton population growth and community structure
16,16,primary data,"Grzesiuk, M; Gryglewicz, E; Bentkowski, P; Pijanowska, J",Impact of Fluoxetine on Herbivorous Zooplankton and Planktivorous Fish,ENVIRONMENTAL TOXICOLOGY AND CHEMISTRY,2023,42,2,385,392,10.1002/etc.5525,The effect of fluoxetine on somatic growth of daphnia magna
17,17,primary data,"Zheng, SW; Wang, R; Kainz, MJ; Liu, CY; Li, PW; Li, ZX; Yan, HY; Yin, DQ","How phytoplankton biomass controls metal(loid) bioaccumulation in size-fractionated plankton in anthropogenic-impacted subtropical lakes: A comprehensive study in the Yangtze River Delta, China",WATER RESEARCH,2022,224,,NA,NA,10.1016/j.watres.2022.119075,"Investigated the bioaccumulation of eight metal(loid)s (As, Co, Cu, Hg, Mn, Pb, Se, and Zn) in plankton"
18,18,primary data,"Lachapelle, J; Bestion, E; Jackson, EE; Schaum, CE",Presence of a resident species aids invader evolution,LIMNOLOGY AND OCEANOGRAPHY,2022,67,10,2252,2264,10.1002/lno.12200,(1) how the presence of a locally adapted phytoplankton species will affect an invading phytoplankton species' evolutionary response to a physiologically challenging environment; (2) whether this response is conserved across environments varying in quality; and (3) which traits are associated with being a successful invader under climate change scenarios
19,19,primary data,"Baker, HK; Li, SS; Samu, SC; Jones, NT; Symons, CC; Shurin, JB",Prey naivete alters the balance of consumptive and non-consumptive predator effects and shapes trophic cascades in freshwater plankton,OIKOS,2022,2022,11,NA,NA,10.1111/oik.09173,How the ecological and evolutionary experience that prey share with a given predator determine their position along the trade off curve of consumptive (CEs) and non-consumptive predator effects (NCEs).
21,21,primary data,"Titocci, J; Fink, P","Food quality impacts on reproductive traits, development and fatty acid composition of the freshwater calanoid copepod Eudiaptomus sp.",JOURNAL OF PLANKTON RESEARCH,2022,44,4,528,541,10.1093/plankt/fbac030,Supplied five different phytoplankton diets to the freshwater calanoid copepod Eudiaptomus sp. to investigate their dietary quality for the copepods' fitness traits over the copepod's entire life cycle
22,22,primary data,"Gu, L; Qin, SS; Sun, YF; Huang, J; Akbar, S; Zhang, L; Yang, Z",Coping with antagonistic predation risks: Predator-dependent unique responses are dominant in Ceriodaphnia cornuta,MOLECULAR ECOLOGY,2022,31,14,3951,3962,10.1111/mec.16550,"Based on antagonistic predation pressure froman invertebrate (Chaoborus larvae) and a vertebrate (Rhodeus ocellatus) predator, westudied the responses of multiple traits and transcriptomes of the freshwater crus-tacean Ceriodaphnia cornuta under multiple predation risks."
25,25,primary data,"Ramaekers, L; Pinceel, T; Brendonck, L; Vanschoenwinkel, B",Direct effects of elevated dissolved CO2 can alter the life history of freshwater zooplankton,SCIENTIFIC REPORTS,2022,12,1,NA,NA,10.1038/s41598-022-10094-2,The extent to which freshwater zooplankton may be directly affectedby dissolved CO2 levels (pCO2) 
26,26,primary data,"Gomes, ACAM; Macêdo, RL; Gomes, LF; Velho, LFM; Rocha, O; Vieira, LCG","Range expansion of Kellicottia bostoniensis (Rousselet, 1908) (Rotifera) throughout a biogeographic boundary between the Brazilian savanna and the Amazon",AQUATIC SCIENCES,2022,84,2,NA,NA,10.1007/s00027-022-00861-8,surveying Kellicottia bostoniensis in Araguaia River
29,29,primary data,"Kim, K; Taylor, DJ",Thermal phenotypic plasticity of the second limb in Daphnia,JOURNAL OF PLANKTON RESEARCH,2022,44,2,259,267,10.1093/plankt/fbac003,Thermal phenotypic plasticity of the second limb in Daphnia
30,30,primary data,"Dao, TS; Nguyen, VT; Baduel, C; Bui, MH; Tran, VT; Pham, TL; Bui, BT; Dinh, KV",Toxicity of di-2-ethylhexyl phthalate and tris (2-butoxyethyl) phosphate to a tropical micro-crustacean (Ceriodaphnia cornuta) is higher in Mekong River water than in standard laboratory medium,ENVIRONMENTAL SCIENCE AND POLLUTION RESEARCH,2022,29,26,39777,39789,10.1007/s11356-022-18993-7,Effect of di(2-ethylhexyl) phthalate (DEHP) and tris (2-butoxyethyl) phosphate (TBOEP) on C.cornuta
32,32,primary data,"Mohanty, TR; Tiwari, NK; Kumari, S; Ray, A; Manna, RK; Bayen, S; Roy, S; Das Gupta, S; Ramteke, MH; Swain, HS; Bhor, M; Das, BK",Variation of Aulacoseira granulata as an eco-pollution indicator in subtropical large river Ganga in India: a multivariate analytical approach,ENVIRONMENTAL SCIENCE AND POLLUTION RESEARCH,2022,29,25,37498,37512,10.1007/s11356-021-18096-9,assess major environmental factors which contribute to A. granulata bloom in the riverine system
35,35,primary data,"Govaert, L; De Meester, L; Rousseaux, S; Declerck, SAJ; Pantel, JH",Measuring the contribution of evolution to community trait structure in freshwater zooplankton,OIKOS,2021,130,10,1773,1787,10.1111/oik.07885,when evolutionary processes are likely to play an important role in structuring community features
37,37,primary data,"Caputo, L; Fuentes, R; Woelfl, S; Castañeda, LE; Cárdenas, L","Phenotypic plasticity of clonal populations of the freshwater jellyfish Craspedacusta sowerbii (Lankester, 1880) in Southern Hemisphere lakes (Chile) and the potential role of the zooplankton diet",AUSTRAL ECOLOGY,2021,46,8,1192,1197,10.1111/aec.13087,report synchronous blooms of clonal populations of C. sowerbii in two nordpatagonian lakes
38,38,primary data,"Flöder, S; Yong, J; Klauschies, T; Gaedke, U; Poprick, T; Brinkhoff, T; Moorthi, S",Intraspecific trait variation alters the outcome of competition in freshwater ciliates,ECOLOGY AND EVOLUTION,2021,11,15,10225,10243,10.1002/ece3.7828,we investigate how intraspecific trait variation affects the competition between the freshwater ciliates Euplotes octocarinatus and Coleps hirtus in a nitrogen-limited chemostat system
39,39,primary data,"Bomfim, FD; Melao, MDG; Gebara, RC; Lansac-Tôha, FA",Warming and predator drive functional responses of three subtropical cladocerans,AQUATIC ECOLOGY,2021,55,3,903,914,10.1007/s10452-021-09870-5,how warming and predator affect the functional responses of three subtropical cladocerans
40,40,primary data,"Münzner, K; Gollnisch, R; Rengefors, K; Koreiviene, J; Lindström, ES",High Iron Requirements for Growth in the Nuisance Alga Gonyostomum semen (Raphidophyceae),JOURNAL OF PHYCOLOGY,2021,57,4,1309,1322,10.1111/jpy.13170,
41,41,primary data,"Fettweis, A; Bergen, B; Hansul, S; De Schamphelaere, K; Smolders, E","Correlated Ni, Cu, and Zn Sensitivities of 8 Freshwater Algal Species and Consequences for Low-Level Metal Mixture Effects",ENVIRONMENTAL TOXICOLOGY AND CHEMISTRY,2021,40,7,2015,2025,10.1002/etc.5034,explore the correlations of metal sensitivities among species and if these sensitivities or metal mixture interactions are related to growth or morphological traits
42,42,primary data,"Choi, JY; Kim, SK","The Use of Winter Water Temperature and Food Composition by the Copepod Cyclops vicinus (Uljanin, 1875) to Provide a Temporal Refuge from Fish Predation",BIOLOGY-BASEL,2021,10,5,NA,NA,10.3390/biology10050393,"describe a new defense strategy for Cyclops vicinus, which is vulnerable to fish predation"
43,43,primary data,"Broccoli, A; Anselmi, S; Cavallo, A; Ferrari, V; Prevedelli, D; Pastorino, P; Renzi, M","Ecotoxicological effects of new generation pollutants (nanoparticles, amoxicillin and white musk) on freshwater and marine phytoplankton species",CHEMOSPHERE,2021,279,,NA,NA,10.1016/j.chemosphere.2021.130623,Effects of new generation pollutants on five phytoplankton species
44,44,primary data,"Tseng, M; Di Filippo, CM; Fung, M; Kim, JO; Forster, IP; Zhou, YL",Cascading effects of algal warming in a freshwater community,FUNCTIONAL ECOLOGY,2021,35,4,920,929,10.1111/1365-2435.13752,"How resource quality is also affected by warming, and changes in resource quality can have meaningful effects on the productivity of higher trophic levels"
46,46,primary data,"Kazama, T; Urabe, J; Yamamichi, M; Tokita, K; Yin, XW; Katano, I; Doi, H; Yoshida, T; Hairston, NG",A unified framework for herbivore-to-producer biomass ratio reveals the relative influence of four ecological factors,COMMUNICATIONS BIOLOGY,2021,4,1,NA,NA,10.1038/s42003-020-01587-9,"Effects of production rate, defense traits and nutrient contents of producers, and predation by carnivores on structure of a community"
47,47,primary data,"Amaral, DC; Dunck, B; Braghin, LSM; Fernandes, UL; Bomfim, FF; Bonecker, CC; Lansac-Tôha, FA",Predation by an omnivorous fish and food availability alter zooplankton functional diversity: a microcosm approach,ANAIS DA ACADEMIA BRASILEIRA DE CIENCIAS,2021,93,,NA,NA,10.1590/0001-3765202120200778,
48,48,primary data,"Chaktraborty, S; Karmaker, D; Rahman, MA; Bali, SC; Das, SK; Hossen, R","Impacts of pH and salinity on community composition, growth and cell morphology of three freshwater phytoplankton",PLANT SCIENCE TODAY,2021,8,3,655,661,10.14719/pst.2021.8.3.1190,"impacts of different pH (pH 5.90 to 9.10) and salinity (0.60 to 3.0 ppt) concentrations on freshwater phytoplankton Chlorella vulgaris, Euglena granulata and Scenedesmus quadricauda. "
49,49,primary data,"Macêdo, RL; Franco, ACS; Corrêa, RF; Costa, KD; Pereira, LG; de Oliveira, FDM; Klippel, G; Cordeiro, BD; Thiago, MGR; Rocha, MID; Huszar, VLM; dos Santos, LN; Branco, CWC","Spreading of the invasive dinoflagellate Ceratium furcoides (Levander) Langhans throughout the Paraiba do Sul ecoregion, South America, Brazil",LIMNETICA,2021,40,2,233,246,10.23818/limn.40.16,looks at the invasive  dinoflagellate Ceratium furcoides (Levander) in south america
50,50,primary data,"Salmi, P; Mäki, A; Mikkonen, A; Puupponen, VM; Vuorio, K; Tiirola, M",Comparison of epifluorescence microscopy and flow cytometry in counting freshwater picophytoplankton,BOREAL ENVIRONMENT RESEARCH,2021,26,,17,27,10.17011/jyx/dataset/66278,Comparison of epifluorescence microscopy and flow cytometry in counting freshwater picophytoplankton
51,51,primary data,"Lu, XT; Gao, YY; Weisse, T",Functional Ecology of Two Contrasting Freshwater Ciliated Protists in Relation to Temperature,JOURNAL OF EUKARYOTIC MICROBIOLOGY,2021,68,1,NA,NA,10.1111/jeu.12823,"growth rate (numerical response, NR) and ingestion rate (functional response, FR) over a range of ecologically relevant temperatures for two cilliate species"
52,52,primary data,"Lines, T; Orr, P; Beardall, J",Elevated co2 has Differential Effects on Five Species of Microalgae from a Subtropical Freshwater Lake: Possible Implications for Phytoplankton Species Composition1,JOURNAL OF PHYCOLOGY,2021,57,1,324,334,10.1111/jpy.13104,"nvestigated the effects of elevated CO2 (1,000 ppm) relative to current atmospheric CO2 partial pressures (400 ppm), on growth, cell size, carbon acquisition, and photophysiology of five freshwater phytoplankton species including a toxic cyanophyte, Raphidiopsis raciborskii, from Lake Wivenhoe, Australia"
57,57,primary data,"Sha, YC; Tesson, SVM; Hansson, LA",Diverging responses to threats across generations in zooplankton,ECOLOGY,2020,101,11,NA,NA,10.1002/ecy.3145,"xposed clones of a freshwater cladoceran, Daphnia magna, to threats from predation and ultraviolet radiation (UVR) during three consecutive parthenogenetic generations."
58,58,primary data,"Krzton, W; Kosiba, J",Variations in zooplankton functional groups density in freshwater ecosystems exposed to cyanobacterial blooms,SCIENCE OF THE TOTAL ENVIRONMENT,2020,730,,NA,NA,10.1016/j.scitotenv.2020.139044,
60,60,primary data,"Pinheiro-Silva, L; Gianuca, AT; Silveira, MH; Petrucio, MM",Grazing efficiency asymmetry drives zooplankton top-down control on phytoplankton in a subtropical lake dominated by non-toxic cyanobacteria,HYDROBIOLOGIA,2020,847,10,2307,2320,10.1007/s10750-020-04255-5,
61,61,primary data,"Vezhnavets, VV; Litvinova, AG","REPRESENTATIVES OF THE GENUS EURYTEMORA GIESBRECHT, 1881 (CALANOIDA, TEMORIDAE) IN AQUATIC ECOSYSTEMS OF BELARUS",CRUSTACEANA,2020,93,3-5,283,298,10.1163/15685403-00004008,"The main biological features of two species of the genus Eurytemora have been studied: the relict E. lacustris (Poppe, 1887) and the alien E. velox"
63,63,primary data,"Ritschar, S; Rabus, M; Laforsch, C",Predator-specific inducible morphological defenses of a water flea against two freshwater predators,JOURNAL OF MORPHOLOGY,2020,281,6,653,661,10.1002/jmor.21131,investigated whether a clone of the pond-dwelling species Daphnia similis responds to different predatory invertebrates (Triops cancriformis; Notonecta maculata) with the expression of predator-specific modifications of the same defensive traits
65,65,primary data,"Luimstra, VM; Verspagen, JMH; Xu, TS; Schuurmans, JM; Huisman, J",Changes in water color shift competition between phytoplankton species with contrasting light-harvesting strategies,ECOLOGY,2020,101,3,NA,NA,10.1002/ecy.2951,Changes in water color shift competition between phytoplankton species with contrasting light-harvesting strategies
66,66,primary data,"Arunpandi, N; Jyothibabu, R; Jagadeesan, L; Albin, KJ; Savitha, KMM; Parthasarathi, S",Impact of salinity on the grazing rate of a cladocera (Latonopsis australis) in a large tropical estuarine system,ENVIRONMENTAL MONITORING AND ASSESSMENT,2020,192,2,NA,NA,10.1007/s10661-020-8068-x,Impact of salinity on the grazing rate of a cladocera
67,67,primary data,"Hofmann, P; Chatzinotas, A; Harpole, WS; Dunker, S",Temperature and stoichiometric dependence of phytoplankton traits,ECOLOGY,2019,100,12,NA,NA,10.1002/ecy.2875,investigate variability of cellular traits in three prokaryotic and three eukaryotic freshwater phytoplankton species along gradients of temperature and nitrogen:phosphorus ratio (N:P) in laboratory microcosms.
68,68,primary data,"Barrow, JL; Beisner, BE; Giles, R; Giani, A; Domaizon, I; Gregory-Eaves, I",Macrophytes moderate the taxonomic and functional composition of phytoplankton assemblages during a nutrient loading experiment,FRESHWATER BIOLOGY,2019,64,8,1369,1381,10.1111/fwb.13311,how macrophyte abundance altered phytoplankton assemblages using experimental ponds
69,69,primary data,"Colomer, J; Müller, MF; Barcelona, A; Serra, T",Mediated food and hydrodynamics on the ingestion of microplastics by Daphnia magna,ENVIRONMENTAL POLLUTION,2019,251,,434,441,10.1016/j.envpol.2019.05.034, investigated the variability in the ingestion of MP to food ratios and the exposed time of MP to Daphnia magna in non-sheared and sheared conditions
70,70,primary data,"Tseng, M; Bernhardt, JR; Chila, AE",Species interactions mediate thermal evolution,EVOLUTIONARY APPLICATIONS,2019,12,7,1463,1474,10.1111/eva.12805,how thermal evolution of Daphnia pulex to two selection temperatures (12 and 18°C) is mediated by rapid thermal evolution of its algal resource (Scenedesmus obliquus) or by the presence of the zooplankton predator Chaoborus americanu
71,71,primary data,"Jordan, MP; Stewart, AR; Eagles-Smith, CA; Strecker, AL",Nutrients mediate the effects of temperature on methylmercury concentrations in freshwater zooplankton,SCIENCE OF THE TOTAL ENVIRONMENT,2019,667,,601,612,10.1016/j.scitotenv.2019.02.259,how warmer water temperatures and excess nutrients would alter zooplankton communities and phytoplankton concentrations
72,72,primary data,"Josué, IIP; Cardoso, SJ; Miranda, M; Mucci, M; Ger, KA; Roland, F; Marinho, MM",Cyanobacteria dominance drives zooplankton functional dispersion,HYDROBIOLOGIA,2019,831,1,149,161,10.1007/s10750-018-3710-0,assessed the effects of eutrophication and cyanobacteria blooms on zooplankton functional diversity in a tropical hypereutrophic lake.
73,73,primary data,"Raveh, S; Langen, K; Bakker, TCM; Josephs, C; Frommen, JG","Oddity, predation risk and social decisions in aquatic invertebrates",ETHOLOGY,2019,125,2,106,113,10.1111/eth.12835,examined the oddity effect and swarming preferences in two differently sized species of freshwater planktonic crustaceans
74,74,primary data,"Wilkinson, AA; Hondzo, M; Guala, M",Investigating Abiotic Drivers for Vertical and Temporal Heterogeneities of Cyanobacteria Concentrations in Lakes Using a Seasonal In Situ Monitoring Station,WATER RESOURCES RESEARCH,2019,55,2,954,972,10.1029/2018WR024228,The abiotic drivers for toxic HAB are investigated using a research station deployed in a eutrophic lake in Minnesota in 2016.
76,76,primary data,"Mironova, E; Gopko, M; Pasternak, A; Mikheev, V; Taskinen, J",Trematode cercariae as prey for zooplankton: effect on fitness traits of predators,PARASITOLOGY,2019,146,1,105,111,10.1017/S0031182018000963,
77,77,primary data,"Mandal, S; Wilkins, RA; Shurin, JB",Compensatory grazing by Daphnia generates a trade-off between top-down and bottom-up effects across phytoplankton taxa,ECOSPHERE,2018,9,12,NA,NA,10.1002/ecs2.2537,compared functional and structural traits of 14 species of freshwater phytoplankton to test the influence of life history on grazing and growth rate of Daphnia consumers
80,80,primary data,"Bestion, E; García-Carreras, B; Schaum, CE; Pawar, S; Yvon-Durocher, G",Metabolic traits predict the effects of warming on phytoplankton competition,ECOLOGY LETTERS,2018,21,5,655,664,10.1111/ele.12932,evelop a theoretical model that links interspecific differences in the temperature dependence of resource acquisition and growth to the outcome of pairwise competition in phytoplankton
82,82,primary data,"Jones, NT; Gilbert, B",Geographic signatures in species turnover: decoupling colonization and extinction across a latitudinal gradient,OIKOS,2018,127,4,507,517,10.1111/oik.04590,"how zooplankton communities (copepods and cladocerans) have changed over a 25–75 year time span by assessing colonization and extinction rates from lakes across an 1800 km latitudinal gradient, and further tested whether species traits predict rates of community change over time"
83,83,primary data,"Wolf, R; Heuschele, J",Water Browning Influences the Behavioral Effects of Ultraviolet Radiation on Zooplankton,FRONTIERS IN ECOLOGY AND EVOLUTION,2018,6,,NA,NA,10.3389/fevo.2018.00026,effects of DOM and UV on exploration behavior and other motility patterns
84,84,primary data,"Kruk, C; Segura, AM; Nogueira, L; Alcántara, I; Calliari, D; de la Escalera, GM; Carballo, C; Cabrera, C; Sarthou, F; Scavone, P; Piccini, C",A multilevel trait-based approach to the ecological performance of Microcystis aeruginosa complex from headwaters to the ocean,HARMFUL ALGAE,2017,70,,23,36,10.1016/j.hal.2017.10.004,patterns at multiple levels of organization irrespective of taxonomic identity (i.e. a trait-based approach) were analyzed
86,86,primary data,"Brennan, GL; Colegrave, N; Collins, S",Evolutionary consequences of multidriver environmental change in an aquatic primary producer,PROCEEDINGS OF THE NATIONAL ACADEMY OF SCIENCES OF THE UNITED STATES OF AMERICA,2017,114,37,9930,9935,10.1073/pnas.1703375114,how primary producers at the base of aquatic ecosystems respond to complex environmental change
87,87,primary data,"Hahn, MW; Karbon, G; Koll, U; Schmidt, J; Lang, E",Polynucleobacter sphagniphilus sp nov a planktonic freshwater bacterium isolated from an acidic and humic freshwater habitat,INTERNATIONAL JOURNAL OF SYSTEMATIC AND EVOLUTIONARY MICROBIOLOGY,2017,67,9,3261,3267,10.1099/ijsem.0.002096,"Strain MWH-Weng1-1T, isolated from an acidic freshwater habitat located in the Wenger Moor, Austria, was characterized by investigating its phenotypic, chemotaxonomic and genomic traits"
89,89,primary data,"Yang, D; Park, S","Freshwater anostracan, Branchinella kugenumaensis, as a potential controlling consumer species on toxic cyanobacteria Microcystis aeruginosa",AQUATIC ECOLOGY,2017,51,3,449,461,10.1007/s10452-017-9628-1,evaluate the potential of Branchinella kugenumaensis for cyanobacterial bloom control relative to Daphnia
